abilnotu                 | ablution, abutilon
aeilmnrstu               | neutralism, trimensual
aehinoprst               | opisthenar, spheration
acehilnopt               | pachnolite, phonetical
ceilnoprsu               | perculsion, preclusion
aceilnprtu               | periculant, unprelatic
aeilmoprst               | peristomal, prestomial
achioprsty               | physiocrat, psychotria
adeilmopst               | plastidome, postmedial
acilnoprtu               | ponticular, untropical
aegilnopst               | postgenial, spangolite
aceinoprtu               | precaution, unoperatic
aceilmprsu               | premusical, superclaim
adeilnprtu               | prudential, putredinal
efgilnrsuy               | refusingly, syringeful
aegilnortu               | regulation, urogenital
deimnorstu               | semirotund, unmortised
acilmnstuy               | stimulancy, unmystical
deghilnstu               | sunlighted, unslighted
adehilorty               | thyreoidal, thyroideal
ceghinorty               | thyrogenic, trichogyne
ailnorstuy               | unroyalist, unsolitary
acdeilnorty              | adrenolytic, declinatory
aeghimnopsu              | amphigenous, musophagine
acehimnorst              | anchoretism, trichomanes
aceghimnost              | asthmogenic, mesognathic
abcegilnost              | blastogenic, genoblastic
abceilmorst              | blastomeric, meroblastic
achiloprsty              | chiroplasty, polyarchist
acdegimorty              | comitragedy, tragicomedy
acelnoprtuy              | counterpaly, counterplay
aceilnortuv              | countervail, involucrate
adegilnprvy              | depravingly, pervadingly
afilmnortuy              | fulminatory, unformality
acegilnopty              | genotypical, ptyalogenic
aeghmoprsuy              | hypergamous, museography
acghimopsty              | mycophagist, phagocytism
aghimoprsty              | myographist, pythagorism
acdeilnortu              | radiolucent, reductional
adehlnorstu              | southerland, southlander
abceilmnoptu             | incomputable, uncompatible
adilorty                 | adroitly, dilatory, idolatry
aeginorz                 | agonizer, orangize, organize
abimnors                 | ambrosin, barosmin, sabromin
aeimnrsu                 | aneurism, arsenium, sumerian
achinort                 | anorthic, anthroic, tanchoir
aceioprt                 | aporetic, capriote, operatic
acmorsty                 | arctomys, costmary, mascotry
aehimrst                 | arthemis, marshite, meharist
aeginrst                 | astringe, ganister, gantries
acehimrt                 | athermic, marchite, rhematic
abeilort                 | betailor, laborite, orbitale
abeinrtu                 | braunite, urbanite, urbinate
aceilort                 | calorite, erotical, loricate
acdeilmo                 | cameloid, comedial, melodica
aceimrst                 | camerist, ceramist, matrices
acehnopr                 | canephor, chaperno, chaperon
acinorst                 | cantoris, castorin, corsaint
aceinopr                 | caponier, coprinae, procaine
acdhlnor                 | chaldron, chlordan, chondral
cdehilno                 | chelidon, chelonid, delichon
achimnor                 | choirman, harmonic, omniarch
ceinorsu                 | coinsure, corineus, cusinero
aciorstu                 | cotarius, octarius, suctoria
acimnoty                 | cymation, myatonic, onymatic
adeinrsu                 | denarius, desaurin, unraised
acdeiops                 | diascope, psocidae, scopidae
adegimnr                 | dirgeman, margined, midrange
adegilnr                 | dragline, reginald, ringlead
acegilot                 | ectoglia, geotical, goetical
aehinrsv                 | enravish, ravenish, vanisher
adeilops                 | episodal, lapidose, sepaloid
deflnoru                 | flounder, reunfold, unfolder
afilmnor                 | formalin, informal, laniform
aegilnst                 | galenist, genitals, stealing
aegilnot                 | gelation, lagonite, legation
aegimrst                 | gemarist, magister, sterigma
aegilmnr                 | germinal, maligner, malinger
aginorty                 | gyration, organity, ortygian
acehinpt                 | haptenic, pantheic, pithecan
adehikns                 | headskin, nakedish, sinkhead
aehmnors                 | horseman, rhamnose, shoreman
eilnrstu                 | insulter, lustrine, reinsult
aegilnrt                 | integral, teraglin, triangle
aeilnprt                 | interlap, repliant, triplane
aeglnoru                 | lagunero, organule, uroglena
aeilmnos                 | laminose, lemonias, semolina
adeilnop                 | lapideon, palinode, pedalion
agilnprs                 | laspring, sparling, springal
aeilmnru                 | lemurian, malurine, rumelian
aegilmnt                 | ligament, metaling, tegminal
adeilmny                 | lymnaeid, maidenly, medianly
aeimprst                 | maspiter, pastimer, primates
aeilmnst                 | mentalis, smaltine, stileman
agimnoru                 | mirounga, moringua, origanum
aemnorty                 | monetary, myronate, naometry
deilmnsu                 | muslined, unmisled, unsmiled
aimnrstu                 | naturism, sturmian, turanism
aelnorty                 | neolatry, ornately, tyrolean
agimnors                 | orangism, organism, sinogram
aeilnort                 | oriental, relation, tirolean
aceilprt                 | particle, plicater, prelatic
aeilnopr                 | pelorian, peronial, proalien
adelnpru                 | pendular, underlap, uplander
eioprsuv                 | pervious, previous, viperous
adelnopr                 | polander, ponderal, prenodal
aloprstu                 | postural, pulsator, sportula
aelnprsu                 | purslane, serpulan, supernal
deinopry                 | pyrenoid, pyridone, pyrodine
aeilqrtu                 | quartile, requital, triequal
aegilnrs                 | resignal, seringal, signaler
acehnrst                 | resnatch, snatcher, stancher
admnorsw                 | sandworm, swordman, wordsman
acelprst                 | sceptral, scraplet, spectral
acdinops                 | spadonic, spondaic, spondiac
adeinrst                 | stradine, strained, tarnside
denorstu                 | tonsured, unsorted, unstored
abilnrtu                 | tribunal, turbinal, untribal
adehlnsu                 | unhalsed, unlashed, unshaled
adehnpsu                 | unhasped, unphased, unshaped
adelnstu                 | unsalted, unslated, unstaled
acenorstu                | acentrous, courtesan, nectarous
adeimnost                | ademonist, demoniast, staminode
adeilmnot                | antimodel, maldonite, monilated
adehioprt                | aphrodite, atrophied, diaporthe
acdeinsty                | asyndetic, cystidean, syndicate
abceinort                | bicornate, carbonite, reboantic
abcilnoru                | binocular, caliburno, colubrina
achiloprt                | carpolith, politarch, trophical
acfilmoru                | cauliform, formulaic, fumarolic
aceilnrtu                | centurial, lucretian, ultranice
aceilmnru                | ceruminal, melanuric, numerical
acdeinort                | citronade, endaortic, redaction
acdeinotu                | coadunite, education, noctuidae
ceilnorsu                | cornelius, inclosure, reclusion
ceioprstu                | crepitous, euproctis, uroseptic
acegilrtu                | curtilage, cutigeral, graticule
acdeimort                | decimator, medicator, mordicate
deinorstu                | detrusion, tinderous, unstoried
adeinrstu                | disnature, sturnidae, truandise
abdelnstu                | dunstable, unblasted, unstabled
aegilnprs                | espringal, presignal, relapsing
aefimnort                | forminate, fremontia, taeniform
abdeilnru                | indurable, unbrailed, unridable
aeilnorst                | lairstone, orleanist, serotinal
aceilrtuv                | lucrative, revictual, victualer
aceilmnsu                | masculine, semuncial, simulance
aeimnoprs                | mesropian, promnesia, spironema
aeilnrstu                | neuralist, ulsterian, unrealist
aeloprstu                | opulaster, sportulae, sporulate
aeinorstv                | overstain, servation, versation
aceinoprt                | preaction, precation, recaption
acilnostu                | suctional, sulcation, unstoical
acdeilmnu                | unclaimed, undecimal, unmedical
acdehinort               | achondrite, ditrochean, ordanchite
acdeimorty               | acidometry, medicatory, radiectomy
aefilnortu               | antifouler, fluorinate, uniflorate
acehilnort               | chlorinate, ectorhinal, tornachile
aceilmnopr               | complainer, procnemial, recomplain
abcdeilstu               | discutable, subdeltaic, subdialect
adehinprsy               | dysphrenia, sphyraenid, sphyrnidae
aegimnorsu               | germanious, gramineous, marigenous
acimnoprty               | importancy, patronymic, pyromantic
eiloprsuvy               | perviously, previously, viperously
ceghinopty               | phytogenic, pythogenic, typhogenic
abeinort                 | abrotine, baritone, obtainer, reobtain
ailmrstu                 | altruism, muralist, traulism, ultraism
adeinort                 | andorite, nadorite, ordinate, rodentia
aceinrtu                 | anuretic, centauri, centuria, teucrian
aehimpst                 | aphetism, mateship, shipmate, spithame
aceinrst                 | canister, cestrian, cisterna, irascent
acdeimno                 | codamine, comedian, daemonic, demoniac
cdeimost                 | comedist, demotics, docetism, domestic
acenortu                 | cornuate, courante, cuneator, outrance
adeilost                 | diastole, isolated, sodalite, solidate
adehiprs                 | diphaser, parished, raphides, sephardi
aeilprst                 | epistlar, pilaster, plaister, priestal
ehimorst                 | homerist, isotherm, otherism, theorism
chinopty                 | hypnotic, phytonic, pythonic, typhonic
aeilnrtu                 | lutrinae, retinula, rutelian, tenurial
aemnorst                 | monaster, monstera, nearmost, storeman
aelmnops                 | neoplasm, pleonasm, polesman, splenoma
aginorst                 | orangist, organist, roasting, signator
aeilnpst                 | panelist, pantelis, penalist, plastein
acehipst                 | paschite, pastiche, pistache, scaphite
acdenrtu                 | uncarted, uncrated, underact, untraced
aceilorst                | alectoris, sarcolite, sclerotia, sectorial
aceilnort                | alectrion, clarionet, crotaline, locarnite
aceilopst                | alopecist, altiscope, epicostal, scapolite
acehinort                | anchorite, antechoir, heatronic, hectorian
aceinort                 | actioner, anerotic, ceration, creation, reaction
aceilrtu                 | arculite, cutleria, lucretia, reticula, treculia
aeinorst                 | arsonite, asterion, oestrian, rosinate, serotina
aeimnprt                 | imperant, pairment, partimen, premiant, tripeman
aeimnort                 | maronite, martinoe, minorate, morenita, romanite
adenprsu                 | undersap, unparsed, unrasped, unspared, unspread
aceinorst                | atroscine, certosina, ostracine, tinoceras, tricosane
aceilnor                 | acrolein, arecolin, caroline, colinear, cornelia, creolian, lonicera

AMOUNT OF ISOGRAMIC ANAGRAM FAMILIES: 996
